Region,Specialisms,ServiceTypes,Count
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Homecare agencies|Supported living,8
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Substance misuse problems|Eating disorders,Homecare agencies,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Substance misuse problems|Eating disorders|Physical disabilities,Doctors/GPs|Doctors/GPs,2
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Substance misuse problems|Eating disorders|Physical disabilities,Homecare agencies|Supported living,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Substance misuse problems|Physical disabilities,Homecare agencies,2
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Dementia|Mental health conditions|Caring for adults over 65 yrs,Homecare agencies,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Dementia|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act,Hospitals - Mental health/capacity,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Dementia|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act,Hospital|Community services - Mental Health|Hospitals - Mental health/capacity,2
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Dementia|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act,Hospital|Doctors/GPs|Doctors/GPs|Long-term conditions|Community services - Mental Health|Hospitals - Mental health/capacity|Prison healthcare|Rehabilitation (illness/injury),1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Dementia|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Homecare agencies,9
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Dementia|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Homecare agencies|Supported living,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Dementia|Mental health conditions|Caring for adults over 65 yrs|Substance misuse problems|Eating disorders|Physical disabilities,Dentist,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Dementia|Mental health conditions|Caring for adults over 65 yrs|Substance misuse problems|Physical disabilities,Homecare agencies,2
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Dementia|Mental health conditions|Caring for adults over 65 yrs|Substance misuse problems|Physical disabilities,Homecare agencies|Supported living,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities,Clinic|Community services - Healthcare|Doctors/GPs|Doctors/GPs|Community services - Mental Health,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities,Dentist,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities,Homecare agencies,5
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities,Homecare agencies|Community services - Learning disabilities,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities,Residential homes,4
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities,Supported living,2
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities|Caring for adults over 65 yrs,Doctors/GPs,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities|Caring for adults over 65 yrs,Homecare agencies,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities|Caring for adults over 65 yrs,Homecare agencies|Supported living,2
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities|Caring for adults over 65 yrs,Residential homes,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities|Caring for adults over 65 yrs,Supported living,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities|Caring for adults over 65 yrs|Physical disabilities,Dentist,2
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities|Caring for adults over 65 yrs|Physical disabilities,Homecare agencies,4
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities|Caring for adults over 65 yrs|Physical disabilities,Residential homes,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities|Caring for adults over 65 yrs|Substance misuse problems|Eating disorders|Physical disabilities,Dentist,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities|Mental health conditions,Community services - Learning disabilities|Community services - Mental Health,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities|Mental health conditions,Doctors/GPs,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities|Mental health conditions,Homecare agencies|Community services - Mental Health,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities|Mental health conditions,Homecare agencies|Supported living,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities|Mental health conditions,Phone/online advice,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities|Mental health conditions,Residential homes,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities|Mental health conditions,Supported living,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs,Doctors/GPs|Doctors/GPs,3
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs,Homecare agencies,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs,Homecare agencies|Supported living,2
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs,Supported living,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act|Substance misuse problems|Eating disorders,Long-term conditions|Hospitals - Mental health/capacity|Rehabilitation (illness/injury),1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Eating disorders,Doctors/GPs|Doctors/GPs,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Doctors/GPs|Doctors/GPs,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Homecare agencies,4
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Homecare agencies|Supported living,3
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Substance misuse problems|Eating disorders,Doctors/GPs|Doctors/GPs,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Caring for people whose rights are restricted under the Mental Health Act|Substance misuse problems|Eating disorders,Long-term conditions|Hospitals - Mental health/capacity|Rehabilitation (illness/injury),1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Physical disabilities,Residential homes,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Substance misuse problems|Physical disabilities,Homecare agencies,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities|Physical disabilities,Community services - Healthcare|Homecare agencies,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities|Physical disabilities,Homecare agencies,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities|Physical disabilities,Residential homes,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities|Substance misuse problems,Supported living,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Mental health conditions,Community services - Healthcare,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Mental health conditions,Doctors/GPs|Doctors/GPs,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Mental health conditions,Hospitals - Mental health/capacity,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Mental health conditions|Caring for adults over 65 yrs,Community services - Healthcare|Doctors/GPs,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Mental health conditions|Caring for adults over 65 yrs,Community services - Mental Health,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Mental health conditions|Caring for adults over 65 yrs,Doctors/GPs|Doctors/GPs,5
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Mental health conditions|Caring for adults over 65 yrs|Eating disorders,Doctors/GPs|Doctors/GPs,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Mental health conditions|Caring for adults over 65 yrs|Eating disorders|Physical disabilities,Community services - Mental Health,2
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Diagnosis/screening,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Homecare agencies,3
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Hospital|Diagnosis/screening|Long-term conditions|Hospitals - Mental health/capacity|Rehabilitation (illness/injury),1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Mental health conditions|Caring for adults over 65 yrs|Substance misuse problems,Homecare agencies,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Mental health conditions|Caring for adults over 65 yrs|Substance misuse problems|Eating disorders,Community services - Healthcare|Community services - Mental Health,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Mental health conditions|Caring for adults over 65 yrs|Substance misuse problems|Eating disorders,Community services - Healthcare|Community services - Mental Health|Community services - Substance abuse,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Mental health conditions|Caring for adults over 65 yrs|Substance misuse problems|Eating disorders,Community services - Mental Health,2
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Mental health conditions|Caring for adults over 65 yrs|Substance misuse problems|Eating disorders,Doctors/GPs|Doctors/GPs,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Mental health conditions|Caring for people whose rights are restricted under the Mental Health Act|Eating disorders,Hospitals - Mental health/capacity,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Mental health conditions|Caring for people whose rights are restricted under the Mental Health Act|Substance misuse problems|Eating disorders,Hospitals - Mental health/capacity,1
London,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Substance misuse problems,Community services - Substance abuse,1
London,Caring for children (0 - 18yrs)|Caring for people whose rights are restricted under the Mental Health Act|Eating disorders,Clinic|Community services - Mental Health|Urgent care centres,1
London,Caring for children (0 - 18yrs)|Dementia|Learning disabilities|Caring for adults over 65 yrs,Homecare agencies,1
London,Caring for children (0 - 18yrs)|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs,Homecare agencies,1
London,Caring for children (0 - 18yrs)|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act,Community services - Healthcare|Community services - Learning disabilities|Community services - Mental Health|Hospitals - Mental health/capacity,1
London,Caring for children (0 - 18yrs)|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Eating disorders|Physical disabilities,Homecare agencies,1
London,Caring for children (0 - 18yrs)|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Homecare agencies,1
London,Caring for children (0 - 18yrs)|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Homecare agencies|Supported living,1
London,Caring for children (0 - 18yrs)|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Substance misuse problems,Homecare agencies,1
London,Caring for children (0 - 18yrs)|Dementia|Learning disabilities|Mental health conditions|Substance misuse problems,Homecare agencies,1
London,Caring for children (0 - 18yrs)|Dementia|Learning disabilities|Mental health conditions|Substance misuse problems|Eating disorders,Shared lives,1
London,Caring for children (0 - 18yrs)|Dementia|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act|Substance misuse problems,Community services - Learning disabilities|Community services - Mental Health|Hospitals - Mental health/capacity|Rehabilitation (illness/injury)|Community services - Substance abuse,1
London,Caring for children (0 - 18yrs)|Dementia|Mental health conditions|Caring for adults over 65 yrs|Eating disorders|Physical disabilities,Homecare agencies|Supported living,1
London,Caring for children (0 - 18yrs)|Dementia|Mental health conditions|Caring for adults over 65 yrs|Substance misuse problems|Eating disorders,Community services - Mental Health|Hospitals - Mental health/capacity|Community services - Substance abuse,1
London,Caring for children (0 - 18yrs)|Learning disabilities,Homecare agencies,1
London,Caring for children (0 - 18yrs)|Learning disabilities,Residential homes,1
London,Caring for children (0 - 18yrs)|Learning disabilities|Eating disorders|Physical disabilities,Community services - Healthcare,1
London,Caring for children (0 - 18yrs)|Learning disabilities|Mental health conditions,Hospitals - Mental health/capacity,1
London,Caring for children (0 - 18yrs)|Learning disabilities|Mental health conditions,Nursing homes,1
London,Caring for children (0 - 18yrs)|Learning disabilities|Mental health conditions|Caring for people whose rights are restricted under the Mental Health Act|Eating disorders,Hospitals - Mental health/capacity,1
London,Caring for children (0 - 18yrs)|Learning disabilities|Mental health conditions|Eating disorders,Community services - Learning disabilities|Community services - Mental Health,1
London,Caring for children (0 - 18yrs)|Learning disabilities|Mental health conditions|Substance misuse problems|Eating disorders,Community services - Healthcare|Community services - Learning disabilities|Community services - Mental Health|Community services - Substance abuse,1
London,Caring for children (0 - 18yrs)|Learning disabilities|Mental health conditions|Substance misuse problems|Physical disabilities,Homecare agencies|Supported living,1
London,Caring for children (0 - 18yrs)|Learning disabilities|Physical disabilities,Homecare agencies,3
London,Caring for children (0 - 18yrs)|Mental health conditions,Diagnosis/screening,1
London,Caring for children (0 - 18yrs)|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act,Hospitals - Mental health/capacity,1
London,Caring for children (0 - 18yrs)|Mental health conditions|Caring for people whose rights are restricted under the Mental Health Act|Substance misuse problems|Eating disorders,Community services - Healthcare|Diagnosis/screening|Community services - Learning disabilities|Long-term conditions|Community services - Mental Health|Hospitals - Mental health/capacity|Community services - Substance abuse,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults over 65 yrs|Physical disabilities,Doctors/GPs|Doctors/GPs,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Caring for adults over 65 yrs,Diagnosis/screening|Doctors/GPs|Mobile doctors,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Caring for adults over 65 yrs,Doctors/GPs,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Caring for adults over 65 yrs,Doctors/GPs|Doctors/GPs,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Caring for adults over 65 yrs|Eating disorders,Clinic,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Caring for adults over 65 yrs|Eating disorders,Dentist,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Caring for adults over 65 yrs|Physical disabilities,Clinic,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Caring for adults over 65 yrs|Physical disabilities,Dentist,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Caring for adults over 65 yrs|Physical disabilities,Doctors/GPs|Diagnosis/screening|Doctors/GPs|Urgent care centres,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Caring for adults over 65 yrs|Physical disabilities,Doctors/GPs|Doctors/GPs,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Caring for adults over 65 yrs|Physical disabilities,Homecare agencies,3
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Caring for adults over 65 yrs|Physical disabilities,Hospital,3
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Caring for adults over 65 yrs|Physical disabilities,Hospital|Diagnosis/screening,2
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Caring for adults over 65 yrs|Substance misuse problems|Eating disorders|Physical disabilities,Dentist,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Caring for adults over 65 yrs|Eating disorders|Physical disabilities,Community services - Nursing|Homecare agencies,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Caring for adults over 65 yrs|Eating disorders|Physical disabilities,Hospital,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Caring for adults over 65 yrs|Physical disabilities,Diagnosis/screening,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Caring for adults over 65 yrs|Physical disabilities,Doctors/GPs|Doctors/GPs|Rehabilitation (illness/injury),1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Caring for adults over 65 yrs|Physical disabilities,Homecare agencies,15
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Caring for adults over 65 yrs|Physical disabilities,Homecare agencies|Supported living,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Caring for adults over 65 yrs|Substance misuse problems|Eating disorders|Physical disabilities,Community services - Healthcare|Homecare agencies,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Caring for adults over 65 yrs|Eating disorders|Physical disabilities,Homecare agencies,2
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Caring for adults over 65 yrs|Physical disabilities,Community services - Nursing|Community services - Nursing|Homecare agencies|Homecare agencies|Community services - Learning disabilities|Community services - Learning disabilities,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Caring for adults over 65 yrs|Physical disabilities,Community services - Nursing|Homecare agencies,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Caring for adults over 65 yrs|Physical disabilities,Community services - Nursing|Homecare agencies|Supported living,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Caring for adults over 65 yrs|Physical disabilities,Homecare agencies,30
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Caring for adults over 65 yrs|Physical disabilities,Homecare agencies|Supported living,7
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Caring for adults over 65 yrs|Physical disabilities,Hospital|Diagnosis/screening,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Caring for adults over 65 yrs|Substance misuse problems|Eating disorders|Physical disabilities,Dentist,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Caring for adults over 65 yrs|Substance misuse problems|Physical disabilities,Homecare agencies,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Caring for people whose rights are restricted under the Mental Health Act|Substance misuse problems|Eating disorders|Physical disabilities,Ambulances|Community services - Healthcare|Doctors/GPs|Dentist|Diagnosis/screening|Doctors/GPs|Community services - Learning disabilities|Long-term conditions|Community services - Mental Health|Phone/online advice|Rehabilitation (illness/injury),1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs,Community services - Nursing|Homecare agencies,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs,Homecare agencies|Supported living,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act|Eating disorders|Physical disabilities,Homecare agencies,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act|Eating disorders|Physical disabilities,Homecare agencies|Supported living,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act|Physical disabilities,Homecare agencies,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act|Physical disabilities,Homecare agencies|Supported living,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act|Substance misuse problems|Eating disorders,Homecare agencies|Supported living,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act|Substance misuse problems|Eating disorders|Physical disabilities,Community services - Learning disabilities|Community services - Mental Health,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act|Substance misuse problems|Eating disorders|Physical disabilities,Doctors/GPs|Doctors/GPs,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act|Substance misuse problems|Eating disorders|Physical disabilities,Homecare agencies,4
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act|Substance misuse problems|Eating disorders|Physical disabilities,Homecare agencies|Supported living,2
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act|Substance misuse problems|Eating disorders|Physical disabilities,Hospital|Dentist|Diagnosis/screening|Phone/online advice,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act|Substance misuse problems|Eating disorders|Physical disabilities,Hospital|Diagnosis/screening|Long-term conditions|Mobile doctors|Hospitals - Mental health/capacity|Rehabilitation (illness/injury)|Urgent care centres,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act|Substance misuse problems|Eating disorders|Physical disabilities,Shared lives,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act|Substance misuse problems|Physical disabilities,Homecare agencies|Supported living,4
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Eating disorders|Physical disabilities,Community services - Nursing|Homecare agencies|Supported living,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Eating disorders|Physical disabilities,Doctors/GPs|Doctors/GPs,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Eating disorders|Physical disabilities,Homecare agencies,18
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Eating disorders|Physical disabilities,Homecare agencies|Supported living,6
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Community services - Healthcare|Homecare agencies,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Community services - Nursing|Homecare agencies,3
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Dentist,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Homecare agencies,92
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Homecare agencies|Hospice|Community services - Learning disabilities|Community services - Mental Health,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Homecare agencies|Supported housing|Shared lives,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Homecare agencies|Supported housing|Supported living,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Homecare agencies|Supported living,24
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Shared lives,2
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Substance misuse problems|Eating disorders,Homecare agencies,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Substance misuse problems|Eating disorders,Homecare agencies|Supported living,1
London,Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Substance misuse problems|Eating disorders|Physical disabilities,Ambulances|Community services - Healthcare|Dentist|Community services - Learning disabilities|Community services - Mental Health|Prison healthcare|Rehabilitation (illness/injury)|Community services - Substance abuse,1
